,F1,Acc,BalAcc,Precision,Recall,ECE,MCE,ROC_AUC,PR_AUC
ERM-MLP,0.9995666733182819,0.9995666666666667,0.9995666666666666,0.9995667274363034,0.9995666666666666,0.0003025355041026697,0.5316091179847717,0.9999676362500001,0.9999328640798639
AT-ERM,0.9996333399702618,0.9996333333333334,0.9996333333333333,0.9996334573728389,0.9996333333333333,0.00023047517637407388,0.5153542757034302,0.9999683568750001,0.9999332404996245
MC-Dropout,0.9994833416315014,0.9994833333333333,0.9994833333333334,0.9994834423524956,0.9994833333333334,0.00032647725145024944,0.5169990658760071,0.9999622454166667,0.9999247483906171
Random Forest,0.9999666666665834,0.9999666666666667,0.9999666666666668,0.9999666699996667,0.9999666666666668,0.00019041666666656372,0.375,0.9999999991666666,0.9999999975000416
Isolation Forest,0.1644738636643747,0.32598333333333335,0.32598333333333335,0.12035625427691021,0.32598333333333335,0.589444782599514,0.8732008864488119,0.7235711304166667,0.6014589598889741
UVIF-IoT,0.9995500054165207,0.99955,0.9995499999999998,0.9995500116660834,0.9995499999999998,0.00025167101720964335,0.5389894247055054,0.9999797806249999,0.9999609116979685
