,FGSM_e01,PGD10_e01,FGSM_e02,PGD10_e02
ERM-MLP,0.25280868178655125,0.22838838046016088,0.25280868178655125,0.20465299171573195
AT-ERM,0.312805800359851,0.3083416754954951,0.312805800359851,0.2701111135567477
MC-Dropout,0.2728753140145543,0.25068836604133865,0.2728753140145543,0.22399464974690814
UVIF-IoT,0.3143747047191317,0.30513094309076816,0.3143453309195991,0.28897032033611947
