dataset,model,utility,mu_e,mu_c,ECE,energy
nbaiot,ERM-MLP,-0.0017475360530179247,0.0,0.0,0.0003229904443025927,0.0
nbaiot,AT-ERM,-0.0025314796379291168,0.0,0.0,0.00024418376684185697,0.0
nbaiot,MC-Dropout,-0.004176254679374339,0.0,0.0,0.0018726967235406617,0.0
nbaiot,UVIF-IoT,-0.010291578545784925,0.003989318599715465,0.0,0.0009083928237359124,0.25804366668065387
unsw,ERM-MLP,-0.5486967470526657,0.0,0.0,0.1606599425137476,0.0
unsw,AT-ERM,-0.5464833362186919,0.0,0.0,0.14811062611078185,0.0
unsw,MC-Dropout,-0.5105486717661005,0.0,0.0,0.13892198258050448,0.0
unsw,UVIF-IoT,-0.5030392212260669,0.0046704504091498915,0.0023456242275597216,0.056064202397490645,0.25808961192766827
