bin_left,bin_right,n,mean_confidence,empirical_accuracy,gap
0.8,0.8200000000000001,431,0.8102360963821411,0.9071925754060325,0.09695647902389137
0.8200000000000001,0.8400000000000001,432,0.8297784328460693,0.9375,0.10772156715393066
0.8400000000000001,0.86,393,0.8499951362609863,0.9312977099236641,0.08130257366267779
0.86,0.88,528,0.8711230158805847,0.9678030303030303,0.09668001442244556
0.88,0.9,652,0.8898794651031494,0.9708588957055214,0.080979430602372
0.9,0.92,770,0.911405622959137,0.9792207792207792,0.06781515626164225
0.92,0.9400000000000001,1770,0.9298889636993408,0.9926553672316384,0.06276640353229757
0.9400000000000001,0.96,1469,0.9514591693878174,0.9959155888359428,0.044456419448125395
0.96,0.98,3401,0.971490204334259,1.0,0.028509795665740967
0.98,1.0,32978,0.9976821541786194,1.0,0.0023178458213806152
