dataset,budget_frac,F1,active_features,saving_pct
unsw,0.15,0.24511460824638526,29.0,85.27918781725889
unsw,0.22,0.37306796354834704,43.0,78.1725888324873
unsw,0.3,0.4306621309217631,59.0,70.05076142131979
unsw,0.45,0.43156102042338756,88.0,55.32994923857868
unsw,0.6,0.4313581382695838,118.0,40.10152284263959
unsw,1.0,0.42986963325408556,197.0,0.0
