,F1,avg_features,saving_pct
Cortex-M4 @ 168 MHz,0.3724973432504588,43.0,78.1725888324873
Cortex-M7 @ 216 MHz,0.4306303479767969,59.0,70.05076142131979
ESP32 @ 240 MHz,0.41695714131610584,51.0,74.11167512690355
