bin_left,bin_right,n,mean_confidence,empirical_accuracy,gap
0.8,0.8200000000000001,1,0.811996579170227,1.0,0.18800342082977295
0.8200000000000001,0.8400000000000001,6,0.8284733891487122,0.8333333333333334,0.004859944184621212
0.8400000000000001,0.86,2,0.8531545400619507,0.5,0.3531545400619507
0.86,0.88,6,0.8731786608695984,1.0,0.1268213391304016
0.88,0.9,4,0.8870547413825989,1.0,0.11294525861740112
0.9,0.92,3,0.9166424870491028,1.0,0.08335751295089722
0.92,0.9400000000000001,10,0.9321228861808777,0.6,0.3321228861808777
0.9400000000000001,0.96,25,0.9518942832946777,0.88,0.07189428329467773
0.96,0.98,91,0.9733065962791443,0.9230769230769231,0.05022967320222116
0.98,1.0,59827,0.9987826347351074,0.9997492770822538,0.0009666423471463848
