threshold,attack_recall,fpr,fnr,balanced_acc,f1_macro
0.05,0.9997275637387336,0.4217567868268803,0.00027243626126637456,0.7889853884559266,0.7928163853042596
0.1,0.9991826912162008,0.4089341344014241,0.0008173087837991237,0.7951242784073884,0.7995460749269361
0.15,0.9984334914977183,0.3971684468179795,0.0015665085022816536,0.8006325223398694,0.8055299788257614
0.2,0.9968896860172088,0.38584779706275035,0.0031103139827911093,0.8055209444772293,0.8107967391960871
0.25,0.9949372261447998,0.373136404094348,0.005062773855200127,0.8109004110252259,0.8165325818275115
0.3,0.9928258451199855,0.36212171784601693,0.00717415488001453,0.8153520636369843,0.8212274112386156
0.35,0.9904420278339047,0.3487427681352915,0.009557972166095307,0.8208496298493067,0.8269650266866277
0.39999999999999997,0.9880355075260517,0.3360313751668892,0.011964492473948282,0.8260020661795813,0.8322799831213661
0.44999999999999996,0.9852430358480714,0.32245772140631956,0.014756964151928622,0.8313926572208759,0.8377731076289503
0.49999999999999994,0.9816105523645198,0.3089396973742768,0.018389447635480283,0.8363354274951215,0.8427226938089764
0.5499999999999999,0.9778418507503349,0.2938640409434802,0.02215814924966513,0.8419889049034274,0.848324159255877
0.6,0.9741639612232388,0.27931686693368935,0.025836038776761185,0.8474235471447746,0.853639787041919
0.65,0.9702363384566486,0.2651312861593235,0.02976366154335142,0.8525525261486625,0.8585781308397201
0.7,0.9657638431675256,0.24980529595015577,0.034236156832474406,0.8579792736086849,0.8637251166956257
0.75,0.961563784139669,0.23281041388518023,0.03843621586033101,0.8643766851272444,0.8697705629025073
0.7999999999999999,0.9541853020637047,0.21403538050734314,0.04581469793629532,0.8700749607781808,0.8748778158039869
0.85,0.945626262855586,0.19186693368936358,0.054373737144413924,0.8768796645831112,0.8808820422407208
0.9,0.9334347401639158,0.1639686248331108,0.06656525983608419,0.8847330576654024,0.8875118515243106
0.95,0.9049651508615797,0.1117601246105919,0.09503484913842032,0.8966025131254939,0.896431825900925
