,F1,avg_features,saving_pct
Cortex-M4 @ 168 MHz,0.9103157345089379,25.0,78.26086956521739
Cortex-M7 @ 216 MHz,0.9987334440068153,34.0,70.43478260869564
ESP32 @ 240 MHz,0.9540614117233046,29.0,74.78260869565217
