dataset,model,TailECE_high_conf,MaxGap_high_conf
nbaiot,MC-Dropout,0.0017491234703226766,0.15111678838729858
nbaiot,UVIF-IoT,0.0011656031960395282,0.3531545400619507
nbaiot,AT-ERM,0.000227257233557408,0.16222246487935388
unsw,MC-Dropout,0.03957679654099419,0.40510050116992385
unsw,UVIF-IoT,0.014621285414408457,0.10772156715393066
unsw,AT-ERM,0.05486754182804121,0.48189169970233886
