,FGSM_e01,PGD10_e01,FGSM_e02,PGD10_e02
ERM-MLP,0.9996511168770729,0.9995348879352038,0.9996511168770729,0.9994574009271817
AT-ERM,0.9996511168770729,0.9996123740407384,0.9996511168770729,0.9994574012472764
MC-Dropout,0.9995736310603774,0.9995736310603774,0.9995736310603774,0.9994574012472764
UVIF-IoT,0.9996511168770729,0.9996511168770729,0.9996511168770729,0.9992635058554131
