dataset,model,clean_f1,robust_f1_mean,ece,efficiency,uvif_score
nbaiot,AT-ERM,0.9994000299955,0.9991067563483057,0.00024418376684185697,0.0,0.8494407476553058
nbaiot,MC-Dropout,0.9993833649763789,0.9984094231933209,0.0018726967235406617,0.0,0.8489465713508637
nbaiot,UVIF-IoT,0.9993667058239897,0.9978687726916462,0.0009083928237359124,0.0,0.8488961585569121
nbaiot,ERM-MLP,0.9994166920763438,0.9969709039198253,0.0003229904443025927,0.0,0.8486872100320136
unsw,AT-ERM,0.3899007284987662,0.3427502089808148,0.14811062611078185,0.0,0.38421123420123604
unsw,UVIF-IoT,0.35919516973482296,0.29999836586609063,0.056064202397490645,0.0,0.3723081071006962
unsw,MC-Dropout,0.3944775524127249,0.2830675098438523,0.13892198258050448,0.0,0.36630247440272634
unsw,ERM-MLP,0.41562589077826384,0.26894145403166314,0.1606599425137476,0.0,0.3654995793064123
