,F1,Acc,BalAcc,Precision,Recall,ECE,MCE,ROC_AUC,PR_AUC
ERM-MLP,0.4836282445191852,0.8347229340366754,0.6573562980270928,0.5175055308668937,0.6573562980270928,0.05050053191619519,0.29140102646694654,0.9700267273023009,0.5652777364437046
AT-ERM,0.4937228639012467,0.8393104913811422,0.6345173534319155,0.509177895156264,0.6345173534319155,0.02987526231872215,0.1457726928473866,0.9707643995114548,0.5574056174292894
MC-Dropout,0.4765447254850798,0.8328104101301266,0.6505710299806842,0.5187194239389932,0.6505710299806842,0.028384336851276747,0.20274743291668146,0.9696372629994536,0.5509277365464461
Random Forest,0.5424479278355003,0.8677108463855798,0.5406363654148217,0.6049664349771293,0.5406363654148217,0.04631611221765258,0.19352401435617267,0.9582444890040085,0.6099418256407634
Isolation Forest,0.0016316409398053437,0.008225102813785173,0.1,0.000822530844906684,0.1,0.9083654405238415,0.9506019081193557,0.49912892935657427,0.09992855570866356
UVIF-IoT,0.4317478034462067,0.884473555919449,0.44494128041367,0.48382711767316006,0.44494128041367,0.0448877050767458,0.268095881231432,0.9507917204141016,0.5235276209050228
