bin_left,bin_right,n,mean_confidence,empirical_accuracy,gap
0.8,0.8200000000000001,1370,0.8097721934318542,0.3759124087591241,0.4338597846727302
0.8200000000000001,0.8400000000000001,1130,0.8296793103218079,0.347787610619469,0.48189169970233886
0.8400000000000001,0.86,989,0.8493842482566833,0.4115267947421638,0.43785745351451955
0.86,0.88,997,0.8701562881469727,0.6359077231695085,0.23424856497746416
0.88,0.9,871,0.8901113271713257,0.7083811710677382,0.18173015610358745
0.9,0.92,787,0.9098787903785706,0.7242693773824651,0.18560941299610545
0.92,0.9400000000000001,1140,0.930519700050354,0.706140350877193,0.22437934917316105
0.9400000000000001,0.96,1286,0.9487874507904053,0.9276827371695179,0.021104713620887394
0.96,0.98,1979,0.9720311760902405,0.956543708943911,0.015487467146329426
0.98,1.0,35840,0.9984317421913147,0.9950334821428571,0.0033982600484575576
